Id,Description,Claimant,Price,Office,Category
3708,Brown Kraft Recycled Envelopes,Dionis Lloyd,16.98,Quebec,Envelopes
3709,3M Organizer Strips,Anne Pryor,5.4,Quebec,Binders and Binder Accessories
3710,"Seth Thomas 8 1/2"" Cubicle Clock",Anne Pryor,20.28,Quebec,Office Furnishings
3711,Newell 309,Anne Pryor,11.55,Quebec,Pens & Art Supplies
3712,Kleencut® Forged Office Shears by Acme United Corporation,Anne Pryor,2.08,Quebec,"Scissors, Rulers and Trimmers"
3713,"Fellowes Internet Keyboard, Platinum",Dorris Love,30.42,Quebec,Computer Peripherals
3714,"Snap-A-Way® Black Print Carbonless Ruled Speed Letter, Triplicate",Dorris Love,37.94,Quebec,Paper
3715,Ibico Presentation Index for Binding Systems,Pamela Stobb,3.98,Quebec,Binders and Binder Accessories
3716,Aluminum Document Frame,Pamela Stobb,12.22,Quebec,Office Furnishings
3717,"Master Giant Foot® Doorstop, Safety Yellow",Laurel Elliston,7.59,Quebec,Office Furnishings
3718,Zebra Zazzle Fluorescent Highlighters,Toby Carlisle,6.08,Quebec,Pens & Art Supplies
3719,Xerox 198,Carol Triggs,4.98,Quebec,Paper
3720,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",Ben Wallace,550.98,Quebec,Tables
3721,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",Aaron Smayling,4.13,Quebec,Labels
3722,Gyration Ultra Cordless Optical Suite,Mathew Reese,100.97,Quebec,Computer Peripherals
3723,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,Mathew Reese,13.4,Quebec,Office Furnishings
3724,Storex Dura Pro™ Binders,Alan Haines,5.94,Quebec,Binders and Binder Accessories
3725,6190,Alan Haines,65.99,Quebec,Telephones and Communication
3726,Xerox 188,Tom Stivers,11.34,Quebec,Paper
3727,2190,Ted Butterfield,65.99,Quebec,Telephones and Communication
3728,DAX Cubicle Frames - 8x10,Ted Butterfield,5.77,Quebec,Office Furnishings
3729,300 Series Non-Flip,Michael Chen,155.99,Quebec,Telephones and Communication
3730,"Micro Innovations Micro Digital Wireless Keyboard and Mouse, Gray",Dennis Kane,83.1,Quebec,Computer Peripherals
3731,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",Mathew Reese,10.64,Quebec,Office Furnishings
3732,"Westinghouse Floor Lamp with Metal Mesh Shade, Black",Mathew Reese,23.99,Quebec,Office Furnishings
3733,Xerox 1928,Tom Stivers,5.28,Quebec,Paper
3734,Stockwell Push Pins,Jason Klamczynski,2.18,Quebec,Rubber Bands
3735,"Bevis Round Conference Table Top, X-Base",Jason Klamczynski,179.29,Quebec,Tables
3736,"Imation Primaris 3.5"" 2HD Unformatted Diskettes, 10/Pack",Mitch Webber,4.77,Quebec,Computer Peripherals
3737,"Tyvek ® Top-Opening Peel & Seel Envelopes, Plain White",Mitch Webber,27.18,Quebec,Envelopes
3738,Riverleaf Stik-Withit® Designer Note Cubes®,Anne Pryor,10.06,Quebec,Paper
3739,252,Anne Pryor,65.99,Quebec,Telephones and Communication
3740,CF 688,Anne Pryor,155.99,Quebec,Telephones and Communication
3741,"Iceberg OfficeWorks 42"" Round Tables",Sheri Gordon,150.98,Quebec,Tables
3742,Avery 48,Sheri Gordon,6.3,Quebec,Labels
3743,Avery 501,Sheri Gordon,3.69,Quebec,Labels
3744,Wilson Jones Standard D-Ring Binders,Sheri Gordon,5.06,Quebec,Binders and Binder Accessories
3745,"Peel & Seel® Recycled Catalog Envelopes, Brown",Ben Wallace,11.58,Quebec,Envelopes
3746,Gyration Ultra Professional Cordless Optical Suite,Justin MacKendrick,300.97,Quebec,Computer Peripherals
3747,"Eldon® 300 Class™ Desk Accessories, Black",Justin MacKendrick,4.95,Quebec,Office Furnishings
3748,Newell 326,Carol Triggs,1.76,Quebec,Pens & Art Supplies
3749,600 Series Non-Flip,Carol Triggs,45.99,Quebec,Telephones and Communication
3750,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Mitch Webber,107.53,Quebec,Office Furnishings
3751,"Acco PRESSTEX® Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",Helen Wasserman,5.38,Quebec,Binders and Binder Accessories
3752,Canon S750 Color Inkjet Printer,Deirdre Greer,120.97,Quebec,Office Machines
3753,Space Solutions Commercial Steel Shelving,Anne Pryor,64.65,Quebec,Storage & Organization
3754,"Quartet Omega® Colored Chalk, 12/Pack",Pamela Stobb,5.84,Quebec,Pens & Art Supplies
3755,Adesso Programmable 142-Key Keyboard,Nora Price,152.48,Quebec,Computer Peripherals
3756,White GlueTop Scratch Pads,Nora Price,15.04,Quebec,Paper
3757,Ibico Covers for Plastic or Wire Binding Elements,Logan Haushalter,11.5,Quebec,Binders and Binder Accessories
3758,Accessory13,Theresa Swint,35.99,Quebec,Telephones and Communication
3759,StarTAC 6500,Toby Carlisle,125.99,Quebec,Telephones and Communication
3760,Binder Clips by OIC,Liz Willingham,1.48,Quebec,Rubber Bands
3761,Avery 503,Sarah Brown,10.35,Quebec,Labels
3762,12 Colored Short Pencils,Brenda Bowman,2.6,Quebec,Pens & Art Supplies
3763,Belkin 5 Outlet SurgeMaster™ Power Centers,Laurel Elliston,54.48,Quebec,Appliances
3764,Microsoft Natural Multimedia Keyboard,Laurel Elliston,50.98,Quebec,Computer Peripherals
3765,Xerox 1968,Laurel Elliston,6.68,Quebec,Paper
3766,T61,Laurel Elliston,45.99,Quebec,Telephones and Communication
3767,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Lindsay Castell,209.84,Quebec,Office Furnishings
3768,"Tenex Personal Self-Stacking Standard File Box, Black/Gray",Dorris Love,16.91,Quebec,Storage & Organization
3769,Hon iLevel™ Computer Training Table,Anne Pryor,31.76,Quebec,Tables
3770,2160i,Anne Pryor,200.99,Quebec,Telephones and Communication
3771,Sanford 52201 APSCO Electric Pencil Sharpener,Anne Pryor,40.97,Quebec,Pens & Art Supplies
3772,Newell 312,Alan Haines,5.84,Quebec,Pens & Art Supplies
3773,Deflect-o Glass Clear Studded Chair Mats,Nora Price,62.18,Quebec,Office Furnishings
3774,Acco® Hot Clips™ Clips to Go,Jeremy Farry,3.29,Quebec,Rubber Bands
3775,"Eldon® 200 Class™ Desk Accessories, Burgundy",Helen Wasserman,6.28,Quebec,Office Furnishings
3776,Eldon® Gobal File Keepers,Helen Wasserman,15.14,Quebec,Storage & Organization
3777,SANFORD Major Accent™ Highlighters,Dennis Kane,7.08,Quebec,Pens & Art Supplies
3778,Newell 326,Liz Willingham,1.76,Quebec,Pens & Art Supplies
3779,Bevis Rectangular Conference Tables,Anne Pryor,145.98,Quebec,Tables
3780,T28 WORLD,Michael Chen,195.99,Quebec,Telephones and Communication
3781,GBC Binding covers,Michael Chen,12.95,Quebec,Binders and Binder Accessories
3782,"Global High-Back Leather Tilter, Burgundy",Michael Chen,122.99,Quebec,Chairs & Chairmats
3783,Newell 312,Anne Pryor,5.84,Quebec,Pens & Art Supplies
3784,"Tenex Personal Self-Stacking Standard File Box, Black/Gray",Anne Pryor,16.91,Quebec,Storage & Organization
3785,Xerox 1996,Caroline Jumper,6.48,Quebec,Paper
3786,Boston KS Multi-Size Manual Pencil Sharpener,Caroline Jumper,22.99,Quebec,Pens & Art Supplies
3787,Newell 339,Nora Price,2.78,Quebec,Pens & Art Supplies
3788,Xerox 1983,Ben Wallace,5.98,Quebec,Paper
3789,"Mead 1st Gear 2"" Zipper Binder, Asst. Colors",Carol Triggs,12.97,Quebec,Binders and Binder Accessories
3790,Hon Deluxe Fabric Upholstered Stacking Chairs,Dionis Lloyd,243.98,Quebec,Chairs & Chairmats
3791,Sensible Storage WireTech Storage Systems,Stuart Van,70.98,Quebec,Storage & Organization
3792,Acme® Preferred Stainless Steel Scissors,Jasper Cacioppo,5.68,Quebec,"Scissors, Rulers and Trimmers"
3793,Prang Colored Pencils,Fred Chung,2.94,Quebec,Pens & Art Supplies
3794,Eldon® Gobal File Keepers,Brenda Bowman,15.14,Quebec,Storage & Organization
3795,Hoover Portapower™ Portable Vacuum,Bill Eplett,4.48,Quebec,Appliances
3796,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,Helen Wasserman,167.27,Quebec,Storage & Organization
3797,Bretford CR8500 Series Meeting Room Furniture,Helen Wasserman,400.98,Quebec,Tables
3798,ELITE Series,Helen Wasserman,205.99,Quebec,Telephones and Communication
3799,Avery 508,Liz Willingham,4.91,Quebec,Labels
3800,GBC Imprintable Covers,Shirley Schmidt,10.98,Quebec,Binders and Binder Accessories
3801,Bevis 36 x 72 Conference Tables,Shirley Schmidt,124.49,Quebec,Tables
3802,Office Star Flex Back Scooter Chair with White Frame,Muhammed Yedwab,110.98,Quebec,Chairs & Chairmats
3803,Avery 510,Clay Ludtke,3.75,Quebec,Labels
3804,Martin-Yale Premier Letter Opener,Michael Chen,12.88,Quebec,"Scissors, Rulers and Trimmers"
3805,Xerox 1922,Liz Willingham,4.98,Quebec,Paper
3806,StarTAC Series,Liz Willingham,65.99,Quebec,Telephones and Communication
3807,Southworth 25% Cotton Linen-Finish Paper & Envelopes,Dorris Love,9.06,Quebec,Paper
3808,"GBC Laser Imprintable Binding System Covers, Desert Sand",Dorris Love,14.27,Quebec,Binders and Binder Accessories
3809,Avery 508,Dorris Love,4.91,Quebec,Labels
3810,"Imation Printable White 80 Minute CD-R Spindle, 50/Pack",Justin MacKendrick,40.98,Quebec,Computer Peripherals
3811,Ibico EB-19 Dual Function Manual Binding System,Dennis Kane,172.99,Quebec,Binders and Binder Accessories
3812,T193,Dennis Kane,65.99,Quebec,Telephones and Communication
3813,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Anne Pryor,22.72,Quebec,Office Furnishings
3814,Gyration Ultra Professional Cordless Optical Suite,Dorris Love,300.97,Quebec,Computer Peripherals
3815,Kensington 6 Outlet Guardian Standard Surge Protector,Bill Eplett,20.48,Quebec,Appliances
3816,6120,Bill Eplett,65.99,Quebec,Telephones and Communication
3817,Acco Perma® 2700 Stacking Storage Drawers,Dorris Love,29.74,Quebec,Storage & Organization
3818,Storex DuraTech Recycled Plastic Frosted Binders,Stewart Visinsky,4.24,Quebec,Binders and Binder Accessories
3819,Bretford CR4500 Series Slim Rectangular Table,Brenda Bowman,348.21,Quebec,Tables
3820,Belkin MediaBoard 104- Keyboard,Brenda Bowman,27.48,Quebec,Computer Peripherals
3821,Fiskars® Softgrip Scissors,Dorris Love,10.98,Quebec,"Scissors, Rulers and Trimmers"
3822,"Avery® Durable Plastic 1"" Binders",Shirley Schmidt,4.54,Quebec,Binders and Binder Accessories
3823,Xerox 1887,Jennifer Ferguson,18.97,Quebec,Paper
3824,Xerox 204,Jennifer Ferguson,6.48,Quebec,Paper
3825,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Kimberly Carter,7.64,Quebec,Paper
3826,Xerox 1952,Kimberly Carter,4.98,Quebec,Paper
3827,KF 788,Kimberly Carter,45.99,Quebec,Telephones and Communication
3828,Hon 4-Shelf Metal Bookcases,Liz Willingham,100.98,Quebec,Bookcases
3829,Avery 508,Brian Thompson,4.91,Quebec,Labels
3830,Boston 16801 Nautilus™ Battery Pencil Sharpener,Brian Thompson,22.01,Quebec,Pens & Art Supplies
3831,TDK 4.7GB DVD+RW,Stewart Visinsky,14.48,Quebec,Computer Peripherals
3832,Accessory28,Stewart Visinsky,55.99,Quebec,Telephones and Communication
3833,Wilson Jones Easy Flow II™ Sheet Lifters,Kimberly Carter,1.8,Quebec,Binders and Binder Accessories
3834,Timeport L7089,Stewart Visinsky,125.99,Quebec,Telephones and Communication
3835,Accessory15,Sarah Brown,20.99,Quebec,Telephones and Communication
3836,"Crayola Anti Dust Chalk, 12/Pack",Carol Triggs,1.82,Quebec,Pens & Art Supplies
3837,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Mathew Reese,35.89,Quebec,Envelopes
3838,Park Ridge™ Embossed Executive Business Envelopes,Mathew Reese,15.57,Quebec,Envelopes
3839,Panasonic KX-P3626 Dot Matrix Printer,Shirley Daniels,517.48,Quebec,Office Machines
3840,White GlueTop Scratch Pads,Shirley Daniels,15.04,Quebec,Paper
3841,2300 Heavy-Duty Transfer File Systems by Perma,Shirley Daniels,24.98,Quebec,Storage & Organization
3842,Xerox 1947,Sheri Gordon,5.98,Quebec,Paper
3843,GBC Linen Binding Covers,Shirley Daniels,30.98,Quebec,Binders and Binder Accessories
3844,Xerox 1961,Shirley Daniels,4.98,Quebec,Paper
3845,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",Clay Ludtke,36.55,Quebec,Pens & Art Supplies
3846,"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops",Clay Ludtke,85.29,Quebec,Tables
3847,StarTAC Analog,Clay Ludtke,65.99,Quebec,Telephones and Communication
3848,Bell Sonecor JB700 Caller ID,Dionis Lloyd,7.99,Quebec,Telephones and Communication
3849,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Fred Chung,8.69,Quebec,Binders and Binder Accessories
3850,"Avery Flip-Chart Easel Binder, Black",Dionis Lloyd,22.38,Quebec,Binders and Binder Accessories
3851,Avery 51,Dionis Lloyd,6.3,Quebec,Labels
3852,"Seth Thomas 13 1/2"" Wall Clock",Dionis Lloyd,17.78,Quebec,Office Furnishings
3853,"Hunt BOSTON® Vista® Battery-Operated Pencil Sharpener, Black",Alan Haines,11.66,Quebec,Pens & Art Supplies
3854,Security-Tint Envelopes,Sarah Brown,7.64,Quebec,Envelopes
3855,Boston 1799 Powerhouse™ Electric Pencil Sharpener,Mathew Reese,25.98,Quebec,Pens & Art Supplies
3856,"Tennsco Lockers, Gray",Mathew Reese,20.98,Quebec,Storage & Organization
3857,Xerox 1997,Dionis Lloyd,6.48,Quebec,Paper
3858,Balt Split Level Computer Training Table,Dionis Lloyd,138.75,Quebec,Tables
3859,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",Arthur Gainer,170.98,Quebec,Bookcases
3860,1726 Digital Answering Machine,Arthur Gainer,20.99,Quebec,Telephones and Communication
3861,Sharp AL-1530CS Digital Copier,John Stevenson,499.99,Quebec,Copiers and Fax
3862,Panasonic KP-310 Heavy-Duty Electric Pencil Sharpener,John Stevenson,21.98,Quebec,Pens & Art Supplies
3863,"GBC Laser Imprintable Binding System Covers, Desert Sand",Aaron Smayling,14.27,Quebec,Binders and Binder Accessories
3864,Staples Gold Paper Clips,Aaron Smayling,2.98,Quebec,Rubber Bands
3865,StarTAC 7797,Aaron Smayling,115.99,Quebec,Telephones and Communication
3866,Xerox 197,John Stevenson,30.98,Quebec,Paper
3867,Avery 501,Tracy Poddar,3.69,Ontario,Labels
3868,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,Tracy Poddar,3.85,Ontario,Pens & Art Supplies
3869,5190,Stuart Calhoun,65.99,Ontario,Telephones and Communication
3870,"Global Leather & Oak Executive Chair, Burgundy",Arthur Prichep,150.89,Ontario,Chairs & Chairmats
3871,Portfile® Personal File Boxes,Arthur Prichep,17.7,Ontario,Storage & Organization
3872,Fellowes Binding Cases,Kean Nguyen,11.7,Ontario,Binders and Binder Accessories
3873,"AT&T Black Trimline Phone, Model 210",Kean Nguyen,15.99,Ontario,Office Machines
3874,DAX Wood Document Frame.,Jim Kriz,13.73,Ontario,Office Furnishings
3875,Global Adaptabilities™ Conference Tables,Jas O'Carroll,280.98,Ontario,Tables
3876,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Stuart Calhoun,110.98,Ontario,Office Furnishings
3877,Adesso Programmable 142-Key Keyboard,Harold Ryan,152.48,Ontario,Computer Peripherals
3878,Accessory35,John Lucas,35.99,Ontario,Telephones and Communication
3879,Hon 94000 Series Round Tables,Alejandro Grove,296.18,Ontario,Tables
3880,Heavy-Duty E-Z-D® Binders,Sam Zeldin,10.91,Ontario,Binders and Binder Accessories
3881,Xerox 1924,Sam Zeldin,5.78,Ontario,Paper
3882,"Holmes Replacement Filter for HEPA Air Cleaner, Large Room",Sally Hughsby,14.81,Ontario,Appliances
3883,Microsoft Internet Keyboard,Harold Ryan,20.97,Ontario,Computer Peripherals
3884,Xerox 1952,Harold Ryan,4.98,Ontario,Paper
3885,Kensington 6 Outlet MasterPiece® HOMEOFFICE Power Control Center,Philip Brown,90.24,Ontario,Appliances
3886,Xerox 1938,Philip Brown,47.9,Ontario,Paper
3887,Large Capacity Hanging Post Binders,Jane Waco,24.95,Ontario,Binders and Binder Accessories
3888,Xerox 1904,Jane Waco,6.48,Ontario,Paper
3889,Belkin F5C206VTEL 6 Outlet Surge,Sandra Flanagan,22.98,Ontario,Appliances
3890,Xerox 207,Sandra Flanagan,6.48,Ontario,Paper
3891,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Steve Nguyen,5.98,Ontario,Storage & Organization
3892,Avanti 1.7 Cu. Ft. Refrigerator,Herbert Flentye,100.98,Ontario,Appliances
3893,"Global Leather Task Chair, Black",Herbert Flentye,89.99,Ontario,Chairs & Chairmats
3894,"Snap-A-Way® Black Print Carbonless Ruled Speed Letter, Triplicate",Jas O'Carroll,37.94,Ontario,Paper
3895,Avery 491,Sandra Flanagan,4.13,Ontario,Labels
3896,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Sandra Flanagan,22.72,Ontario,Office Furnishings
3897,"Iceberg OfficeWorks 42"" Round Tables",Sandra Flanagan,150.98,Ontario,Tables
3898,Bevis Round Conference Table Top & Single Column Base,Sandra Flanagan,146.34,Ontario,Tables
3899,"Bevis Round Conference Table Top, X-Base",Liz Willingham,179.29,Ontario,Tables
3900,Xerox 227,Sally Hughsby,6.48,Ontario,Paper
3901,"*Staples* vLetter Openers, 2/Pack",Xylona Price,3.68,Ontario,"Scissors, Rulers and Trimmers"
3902,Smead Adjustable Mobile File Trolley with Lockable Top,John Lucas,419.19,Ontario,Storage & Organization
3903,i470,Bill Overfelt,205.99,Ontario,Telephones and Communication
3904,"Maxell Pro 80 Minute CD-R, 10/Pack",Sally Hughsby,17.48,Ontario,Computer Peripherals
3905,Ibico EB-19 Dual Function Manual Binding System,Kean Nguyen,172.99,Ontario,Binders and Binder Accessories
3906,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Kean Nguyen,7.64,Ontario,Envelopes
3907,Xerox 1977,Stuart Calhoun,6.68,Ontario,Paper
3908,"Quartet Alpha® White Chalk, 12/Pack",John Grady,2.21,Ontario,Pens & Art Supplies
3909,Accessory37,Jas O'Carroll,20.99,Ontario,Telephones and Communication
3910,Xerox 1984,Robert Marley,6.48,Ontario,Paper
3911,Timeport L7089,Robert Marley,125.99,Ontario,Telephones and Communication
3912,Honeywell Enviracaire® Portable Air Cleaner for up to 8 x 10 Room,John Lucas,76.72,Ontario,Appliances
3913,"Mead 1st Gear 2"" Zipper Binder, Asst. Colors",Herbert Flentye,12.97,Ontario,Binders and Binder Accessories
3914,T18,Herbert Flentye,110.99,Ontario,Telephones and Communication
3915,DAX Cubicle Frames - 8x10,Mick Hernandez,5.77,Ontario,Office Furnishings
3916,Xerox 21,Sally Hughsby,6.48,Ontario,Paper
3917,Acco Smartsocket® Color-Coded Six-Outlet AC Adapter Model Surge Protectors,Guy Phonely,44.01,Ontario,Appliances
3918,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Guy Phonely,15.99,Ontario,Binders and Binder Accessories
3919,5165,Guy Phonely,175.99,Ontario,Telephones and Communication
3920,Eldon Econocleat® Chair Mats for Low Pile Carpets,Guy Phonely,41.47,Ontario,Office Furnishings
3921,Xerox 210,Guy Phonely,6.48,Ontario,Paper
3922,"Imation 3.5"" IBM-Formatted Diskettes, 10/Pack",Janet Molinari,5.98,Ontario,Computer Peripherals
3923,"Bevis Round Conference Table Top, X-Base",Jay Kimmel,179.29,Ontario,Tables
3924,Ibico Hi-Tech Manual Binding System,Matt Connell,304.99,Ontario,Binders and Binder Accessories
3925,"Iceberg OfficeWorks 42"" Round Tables",Tracy Poddar,150.98,Ontario,Tables
3926,"Fellowes Internet Keyboard, Platinum",Tracy Poddar,30.42,Ontario,Computer Peripherals
3927,"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",Tracy Poddar,39.98,Ontario,Envelopes
3928,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Jay Kimmel,92.23,Ontario,Office Furnishings
3929,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,Steve Nguyen,137.48,Ontario,Bookcases
3930,Lexmark Z25 Color Inkjet Printer,Vivek Grady,80.97,Ontario,Office Machines
3931,Xerox 231,Vivek Grady,6.48,Ontario,Paper
3932,"Bravo II™ Megaboss® 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",Ben Ferrer,3.25,Ontario,Appliances
3933,Logitech Internet Navigator Keyboard,Xylona Price,30.98,Ontario,Computer Peripherals
3934,Talkabout T8097,Xylona Price,205.99,Ontario,Telephones and Communication
3935,"Fellowes Strictly Business® Drawer File, Letter/Legal Size",Jim Kriz,140.85,Ontario,Storage & Organization
3936,Staples Copy Paper (20Lb. and 84 Bright),Karen Daniels,4.98,Ontario,Paper
3937,1726 Digital Answering Machine,Pamela Coakley,20.99,Ontario,Telephones and Communication
3938,TDK 4.7GB DVD+RW,Steve Nguyen,14.48,Ontario,Computer Peripherals
3939,Space Solutions™ Industrial Galvanized Steel Shelving.,Katherine Nockton,78.8,Ontario,Storage & Organization
3940,Acco® Hot Clips™ Clips to Go,Denny Blanton,3.29,Ontario,Rubber Bands
3941,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,Steve Nguyen,3.85,Ontario,Pens & Art Supplies
3942,5170,Steve Nguyen,65.99,Ontario,Telephones and Communication
3943,"Tenex Personal Self-Stacking Standard File Box, Black/Gray",Robert Marley,16.91,Ontario,Storage & Organization
3944,Xerox 1899,Katherine Nockton,5.78,Ontario,Paper
3945,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Sean O'Donnell,43.98,Ontario,Pens & Art Supplies
3946,OIC Thumb-Tacks,Sean O'Donnell,1.14,Ontario,Rubber Bands
3947,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",Jas O'Carroll,55.48,Ontario,Paper
3948,"Wilson Jones Hanging View Binder, White, 1""",Chris Selesnick,7.1,Ontario,Binders and Binder Accessories
3949,SouthWestern Bell FA970 Digital Answering Machine with Time/Day Stamp,Sally Hughsby,28.99,Ontario,Telephones and Communication
3950,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,Sally Hughsby,320.98,Ontario,Chairs & Chairmats
3951,"Quartet Alpha® White Chalk, 12/Pack",Sally Hughsby,2.21,Ontario,Pens & Art Supplies
3952,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,Stuart Calhoun,207.48,Ontario,Appliances
3953,8860,Kean Nguyen,65.99,Ontario,Telephones and Communication
3954,Keytronic French Keyboard,Matt Connell,73.98,Ontario,Computer Peripherals
3955,Avery 494,Sean O'Donnell,2.61,Ontario,Labels
3956,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Vivek Grady,100.98,Ontario,Bookcases
3957,Colored Envelopes,Vivek Grady,3.69,Ontario,Envelopes
3958,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Guy Phonely,40.99,Ontario,Paper
3959,"IBM 80 Minute CD-R Spindle, 50/Pack",Denny Blanton,20.89,Ontario,Computer Peripherals
3960,Bretford CR8500 Series Meeting Room Furniture,Denny Blanton,400.98,Ontario,Tables
3961,Hon Olson Stacker Stools,Chris Selesnick,140.81,Ontario,Chairs & Chairmats
3962,Space Solutions Commercial Steel Shelving,Laura Armstrong,64.65,Ontario,Storage & Organization
3963,Staples Surge Protector 6 outlet,Jas O'Carroll,10.98,Ontario,Appliances
3964,Xerox 196,Jas O'Carroll,5.78,Ontario,Paper
3965,Round Ring Binders,Steve Nguyen,2.08,Ontario,Binders and Binder Accessories
3966,Laminate Occasional Tables,Bill Overfelt,154.13,Ontario,Tables
3967,"Boston Model 1800 Electric Pencil Sharpener, Gray",Katherine Nockton,28.15,Ontario,Pens & Art Supplies
3968,Newell 318,Katherine Nockton,2.78,Ontario,Pens & Art Supplies
3969,Fellowes EZ Multi-Media Keyboard,Sandra Flanagan,34.98,Ontario,Computer Peripherals
3970,Serrated Blade or Curved Handle Hand Letter Openers,Sandra Flanagan,3.14,Ontario,"Scissors, Rulers and Trimmers"
3971,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",Bill Overfelt,8.95,Ontario,Paper
3972,Recycled Steel Personal File for Standard File Folders,Bill Overfelt,55.29,Ontario,Storage & Organization
3973,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Bill Overfelt,550.98,Ontario,Tables
3974,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Alejandro Grove,9.27,Ontario,Paper
3975,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,Alejandro Grove,3.85,Ontario,Pens & Art Supplies
3976,Xerox 1940,Arthur Prichep,54.96,Ontario,Paper
3977,"Global High-Back Leather Tilter, Burgundy",Vivek Grady,122.99,Ontario,Chairs & Chairmats
3978,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Lindsay Shagiari,208.16,Ontario,Appliances
3979,Polycom ViewStation™ Adapter H323 Videoconferencing Unit,Lindsay Shagiari,1938.02,Ontario,Office Machines
3980,DPC 650 Piper,Arthur Prichep,115.99,Ontario,Telephones and Communication
3981,ACCOHIDE® Binder by Acco,Xylona Price,4.13,Ontario,Binders and Binder Accessories
3982,Eldon Cleatmat Plus™ Chair Mats for High Pile Carpets,Xylona Price,79.52,Ontario,Office Furnishings
3983,US Robotics 56K V.92 External Faxmodem,Vivek Grady,99.99,Ontario,Computer Peripherals
3984,1726 Digital Answering Machine,Vivek Grady,20.99,Ontario,Telephones and Communication
3985,"#10 White Business Envelopes,4 1/8 x 9 1/2",Vivek Grady,15.67,Ontario,Envelopes
3986,OIC Thumb-Tacks,Vivek Grady,1.14,Ontario,Rubber Bands
3987,Hoover WindTunnel™ Plus Canister Vacuum,Sally Hughsby,363.25,Ontario,Appliances
3988,Premium Transparent Presentation Covers by GBC,Steve Nguyen,20.98,Ontario,Binders and Binder Accessories
3989,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",Steve Nguyen,5.68,Ontario,Paper
3990,Staples Plastic Wall Frames,Steve Nguyen,7.96,Ontario,Office Furnishings
3991,Array® Memo Cubes,John Lucas,5.18,Ontario,Paper
3992,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,John Lucas,218.75,Ontario,Tables
3993,Kensington 6 Outlet SmartSocket Surge Protector,Stuart Calhoun,40.98,Ontario,Appliances
3994,"Imation Neon Mac Format Diskettes, 10/Pack",Stuart Calhoun,8.12,Ontario,Computer Peripherals
3995,Bevis Boat-Shaped Conference Table,Stuart Calhoun,262.11,Ontario,Tables
3996,Round Ring Binders,Kean Nguyen,2.08,Ontario,Binders and Binder Accessories
3997,Microsoft Natural Multimedia Keyboard,Katherine Nockton,50.98,Ontario,Computer Peripherals
3998,Accessory8,Ben Ferrer,85.99,Ontario,Telephones and Communication
3999,"Imation Primaris 3.5"" 2HD Unformatted Diskettes, 10/Pack",Janet Molinari,4.77,Ontario,Computer Peripherals
4000,Holmes Odor Grabber,Sally Hughsby,14.42,Ontario,Appliances
